
mpssvc                                     Firewall de Windows Defender                                                
MSDTC                                      Coordinador de transacciones distribuidas                                   
MSiSCSI                                    Servicio del iniciador iSCSI de Microsoft                                   
msiserver                                  Windows Installer                                                           
MsKeyboardFilter                           Filtro de teclado de Microsoft                                              
NaturalAuthentication                      Autenticación natural                                                       
NcaSvc                                     Asistente para la conectividad de red                                       
NcbService                                 Agente de conexión de red                                                   
NcdAutoSetup                               Configuración automática de dispositivos conectados a la red                
Netlogon                                   Net Logon                                                                   
Netman                                     Conexiones de red                                                           
netprofm                                   Servicio de lista de redes                                                  
NetSetupSvc                                Servicio de configuración de red                                            
NetTcpPortSharing                          Servicio de uso compartido de puertos Net.Tcp                               
NgcCtnrSvc                                 Contenedor de Microsoft Passport                                            
NgcSvc                                     Microsoft Passport                                                          
NlaSvc                                     Reconoc. ubicación de red                                                   
nsi                                        Servicio Interfaz de almacenamiento en red                                  
OneSyncSvc_35fbbe6                         Sincronizar host_35fbbe6                                                    
ose                                        Office  Source Engine                                                       
p2pimsvc                                   Identity Manager de redes de mismo nivel                                    
p2psvc                                     Agrupación de red del mismo nivel                                           
PcaSvc                                     Servicio Asistente para la compatibilidad de programas                      
PeerDistSvc                                BranchCache                                                                 
perceptionsimulation                       Servicio de simulación de percepción de Windows                             
PerfHost                                   DLL de host del Contador de rendimiento                                     
PhoneSvc                                   Servicio telefónico                                                         
PimIndexMaintenanceSvc_35fbbe6             Datos de contactos_35fbbe6                                                  
pla                                        Registros y alertas de rendimiento                                          
PlugPlay                                   Plug and Play                                                               
PNRPAutoReg                                Servicio de publicación de nombres de equipo PNRP                           
PNRPsvc                                    Protocolo de resolución de nombres de mismo nivel                           
PolicyAgent                                Agente de directiva IPsec                                                   
Power                                      Energía                                                                     
PrintNotify                                Extensiones y notificaciones de impresora                                   
PrintWorkflowUserSvc_35fbbe6               PrintWorkflow_35fbbe6                                                       
ProfSvc                                    Servicio de perfil de usuario                                               
PushToInstall                              Servicio PushToInstall de Windows                                           
QWAVE                                      Experiencia de calidad de audio y vídeo de Windows (qWave)                  
RasAuto                                    Administrador de conexiones automáticas de acceso remoto                    
RasMan                                     Administrador de conexiones de acceso remoto                                
RemoteAccess                               Enrutamiento y acceso remoto                                                
RemoteRegistry                             Registro remoto                                                             
RetailDemo                                 Servicio de prueba comercial                                                
RmSvc                                      Servicio de administración de radio                                         
RpcEptMapper                               Asignador de extremos de RPC                                                
RpcLocator                                 Ubicador de llamada a procedimiento remoto (RPC)                            
RpcSs                                      Llamada a procedimiento remoto (RPC)                                        
RtkAudioUniversalService                   Realtek Audio Universal Service                                             
RtkBtAudioServ                             Realtek Bluetooth Audio Service                                             
RtkBtManServ                               Realtek Bluetooth Device Manager Service                                    
SamSs                                      Administrador de cuentas de seguridad                                       
SCardSvr                                   Tarjeta inteligente                                                         
ScDeviceEnum                               Servicio de enumeración de dispositivos de tarjeta inteligente              
Schedule                                   Programador de tareas                                                       
SCPolicySvc                                Directiva de extracción de tarjetas inteligentes                            
SDRSVC                                     Copias de seguridad de Windows                                              
seclogon                                   Inicio de sesión secundario                                                 
SecurityHealthService                      Servicio Seguridad de Windows                                               
SEMgrSvc                                   Administrador de pagos y NFC/SE                                             
SENS                                       Servicio de notificación de eventos de sistema                              
Sense                                      Sense                                                                       
SensorDataService                          Servicio de datos del sensor                                                
SensorService                              Servicio de sensores                                                        
SensrSvc                                   Servicio de supervisión de sensores                                         
SessionEnv                                 Configuración de Escritorio remoto                                          
SharedAccess                               Conexión compartida a Internet (ICS)                                        
SharedRealitySvc                           Servicio de datos espacial                                                  
ShellHWDetection                           Detección de hardware shell                                                 
shpamsvc                                   Shared PC Account Manager                                                   
smphost                                    SMP de Espacios de almacenamiento de Microsoft                              
SmsRouter                                  Servicio enrutador de SMS de Microsoft Windows.                             
SNMPTRAP                                   Captura de SNMP                                                             
spectrum                                   Servicio de percepción de Windows                                           
Spooler                                    Cola de impresión                                                           
sppsvc                                     Protección de software                                                      
SSDPSRV                                    Detección SSDP                                                              
ssh-agent                                  OpenSSH Authentication Agent                                                
SstpSvc                                    Servicio de protocolo de túnel de sockets seguros                           
StateRepository                            Servicio de repositorio de estado                                           
stisvc                                     Adquisición de imágenes de Windows (WIA)                                    
StorSvc                                    Servicio de almacenamiento                                                  
svsvc                                      Comprobador puntual                                                         
swprv                                      Proveedor de instantáneas de software de Microsoft                          
SysMain                                    SysMain                                                                     
SystemEventsBroker                         Agente de eventos del sistema                                               
TabletInputService                         Servicio de Panel de escritura a mano y teclado táctil                      
TapiSrv                                    Telefonía                                                                   
TermService                                Servicios de Escritorio remoto                                              
Themes                                     Temas                                                                       
TieringEngineService                       Administración de capas de almacenamiento                                   
TimeBrokerSvc                              Agente de eventos de tiempo                                                 
TokenBroker                                Administrador de cuentas web                                                
TrkWks                                     Cliente de seguimiento de vínculos distribuidos                             
TroubleshootingSvc                         Servicio de solución de problemas recomendado                               
TrustedInstaller                           Instalador de módulos de Windows                                            
tzautoupdate                               Actualizador de zona horaria automática                                     
UdkUserSvc_35fbbe6                         Servicio de usuario de Udk_35fbbe6                                          
UevAgentService                            Servicio de virtualización de la experiencia de usuario                     
uhssvc                                     Microsoft Update Health Service                                             
UmRdpService                               Redirector de puerto en modo usuario de Servicios de Escritorio remoto      
UnistoreSvc_35fbbe6                        Almacenamiento de datos de usuarios_35fbbe6                                 
upnphost                                   Dispositivo host de UPnP                                                    
UserDataSvc_35fbbe6                        Acceso a datos de usuarios_35fbbe6                                          
UserManager                                Administrador de usuarios                                                   
UsoSvc                                     Servicio orquestador de actualizaciones                                     
VacSvc                                     Servicio Volumetric Audio Compositor                                        
VaultSvc                                   Administrador de credenciales                                               
VBoxSDS                                    VirtualBox system service                                                   
vds                                        Disco virtual                                                               
vmicguestinterface                         Interfaz de servicio invitado de Hyper-V                                    
vmicheartbeat                              Servicio de latido de Hyper-V                                               
vmickvpexchange                            Servicio de intercambio de datos de Hyper-V                                 
vmicrdv                                    Servicio de virtualización de Escritorio remoto de Hyper-V                  
vmicshutdown                               Servicio de cierre de invitado de Hyper-V                                   
vmictimesync                               Servicio de sincronización de hora de Hyper-V                               
vmicvmsession                              Servicio PowerShell Direct de Hyper-V                                       
vmicvss                                    Solicitante de instantáneas de volumen de Hyper-V                           
VSS                                        Instantáneas de volumen                                                     
W32Time                                    Hora de Windows                                                             
WaaSMedicSvc                               Servicio de Windows Update Medic                                            
WalletService                              WalletService                                                               
WarpJITSvc                                 WarpJITSvc                                                                  
wbengine                                   Servicio del módulo de copia de seguridad a nivel de bloque                 
WbioSrvc                                   Servicio biométrico de Windows                                              
Wcmsvc                                     Administrador de conexiones de Windows                                      
wcncsvc                                    Registrador de configuración de Windows Connect Now                         
WdiServiceHost                             Host del servicio de diagnóstico                                            
WdiSystemHost                              Host de sistema de diagnóstico                                              
WdNisSvc                                   Servicio de inspección de red de Antivirus de Microsoft Defender            
WebClient                                  Cliente web                                                                 
Wecsvc                                     Recopilador de eventos de Windows                                           
WEPHOSTSVC                                 Servicio host de proveedor de cifrado de Windows                            
wercplsupport                              Soporte técnico del panel de control Informes de problemas                  
WerSvc                                     Servicio Informe de errores de Windows                                      
WFDSConMgrSvc                              Servicio de administrador de conexiones con servicios Wi-Fi Direct          
WiaRpc                                     Eventos de adquisición de imágenes estáticas                                
WinDefend                                  Servicio Antivirus de Microsoft Defender                                    
WinHttpAutoProxySvc                        Servicio de detección automática de proxy web WinHTTP                       
Winmgmt                                    Instrumental de administración de Windows                                   
WinRM                                      Administración remota de Windows (WS-Management)                            
wisvc                                      Servicio de Windows Insider                                                 
WlanSvc                                    Configuración automática de WLAN                                            
wlidsvc                                    Ayudante para el inicio de sesión de cuenta Microsoft                       
wlpasvc                                    Servicio de asistente para perfil local                                     
WManSvc                                    Servicio de administración de Windows                                       
wmiApSrv                                   Adaptador de rendimiento de WMI                                             
workfolderssvc                             Carpetas de trabajo                                                         
WpcMonSvc                                  Control parental                                                            
WpnService                                 Servicio del sistema de notificaciones de inserción de Windows              
WpnUserService_35fbbe6                     Servicio de usuario de notificaciones de inserción de Windows_35fbbe6       
wscsvc                                     Centro de seguridad                                                         
WSearch                                    Windows Search                                                              
wuauserv                                   Windows Update                                                              
WwanSvc                                    Configuración automática de WWAN                                            
XblAuthManager                             Administración de autenticación de Xbox Live                                
XblGameSave                                Partida guardada en Xbox Live                                               
XboxGipSvc                                 Xbox Accessory Management Service                                           
XboxNetApiSvc                              Servicio de red de Xbox Live                                                


